epoch,recon_loss,contrast_loss,enc_adv_loss,disc_loss,gen_loss
1,0.8590413599389873,4.805961189204699,-0.011990955839418385,-0.004502114650926419,-0.007686649345393691
2,0.8159236506512176,4.675498648865582,-0.012459105934275816,-0.005160357560962439,-0.0073862728449915135
3,0.8125507765572909,4.65108381667638,-0.012390264776667163,-0.005090580816779818,-0.00739401069602796
4,0.8110426486763236,4.637266328345695,-0.012537791199140148,-0.00539035416873438,-0.007220014969685248
5,0.8104612693258616,4.625655995656366,-0.012544211275560876,-0.005401840758110796,-0.007214728665671178
6,0.8100328651601321,4.618588894469553,-0.012482404327190154,-0.005241574158093759,-0.0073154642299882
7,0.8097623249847595,4.612213041140064,-0.012551368565030703,-0.0054162347981972355,-0.007207552455365657
8,0.8094547686239356,4.6064850195357785,-0.012551236213036051,-0.0054165499471127984,-0.007207216609801565
9,0.809077589615295,4.60198250154382,-0.012549097294659783,-0.005415629278868437,-0.007206491367625339
10,0.8089581555835733,4.5979877449061775,-0.012542306356234094,-0.005408816624964986,-0.0072090849386794225
11,0.8086685521961892,4.594792610434093,-0.012542952177408214,-0.005404595285654068,-0.007214508328054633
12,0.8085312076491308,4.5926800258627765,-0.012444119253004454,-0.005187485776841641,-0.007346012400729316
13,0.808235469406054,4.590246124354672,-0.012546740209717798,-0.005412758181669882,-0.007206427460270269
14,0.8083380711133077,4.587901783316103,-0.01254685647407181,-0.005413352141955069,-0.007206083693142448
15,0.8080281707113737,4.586079776559246,-0.01254468820415029,-0.005411784457308905,-0.007206358944198915
16,0.8078958741197847,4.584247060018043,-0.012477060610887734,-0.005218853966466018,-0.007342301878545966
17,0.8077844345950644,4.582296926136975,-0.012472937276935605,-0.005256002694368362,-0.007292103490659169
18,0.8078285166525949,4.5791437789185405,-0.01254697747583837,-0.005413180038865124,-0.007206253433333976
19,0.8075974274715877,4.5790556832535625,-0.012543986003939488,-0.00541066762059927,-0.007207518494022744
20,0.8076314690042304,4.576861499651382,-0.012546458088082675,-0.005413335306303842,-0.007206126137503556
